[21:28:08.651] [INFO   ] thread main starting.
[21:28:08.663] [SEVERE ] cannot read configuration file config.properties trying from resources.
[21:28:08.663] [SEVERE ] configuration file was loaded from resources directory.
[21:28:09.450] [INFO   ] thread dealer starting.
[21:28:09.450] [INFO   ] thread dealer starting.
[21:28:09.450] [INFO   ] thread player 0 starting.
[21:28:09.450] [INFO   ] thread player 1 starting.
[21:28:09.578] [SEVERE ] placing card 55 in slot 0
[21:28:09.704] [SEVERE ] placing card 5 in slot 1
[21:28:09.819] [SEVERE ] placing card 67 in slot 2
[21:28:09.921] [SEVERE ] placing card 68 in slot 3
[21:28:10.036] [SEVERE ] placing card 18 in slot 4
[21:28:10.150] [SEVERE ] placing card 25 in slot 5
[21:28:10.264] [SEVERE ] placing card 62 in slot 6
[21:28:10.370] [SEVERE ] placing card 29 in slot 7
[21:28:10.477] [SEVERE ] placing card 32 in slot 8
[21:28:10.584] [SEVERE ] placing card 54 in slot 9
[21:28:10.693] [SEVERE ] placing card 64 in slot 10
[21:28:10.807] [SEVERE ] placing card 13 in slot 11
[21:28:10.807] [SEVERE ] updating countdown to 60000
[21:28:10.909] [SEVERE ] updating countdown to 59898
[21:28:11.023] [SEVERE ] updating countdown to 59784
[21:28:11.124] [SEVERE ] updating countdown to 59683
[21:28:11.232] [SEVERE ] updating countdown to 59575
[21:28:11.336] [SEVERE ] updating countdown to 59471
[21:28:11.450] [SEVERE ] updating countdown to 59357
[21:28:11.551] [SEVERE ] updating countdown to 59257
[21:28:11.667] [SEVERE ] updating countdown to 59140
[21:28:11.775] [SEVERE ] updating countdown to 59032
[21:28:11.878] [SEVERE ] updating countdown to 58929
[21:28:11.984] [SEVERE ] updating countdown to 58823
[21:28:12.094] [SEVERE ] updating countdown to 58713
[21:28:12.204] [SEVERE ] updating countdown to 58603
[21:28:12.314] [SEVERE ] updating countdown to 58493
[21:28:12.419] [SEVERE ] updating countdown to 58388
[21:28:12.520] [SEVERE ] updating countdown to 58287
[21:28:12.627] [SEVERE ] updating countdown to 58180
[21:28:12.727] [SEVERE ] updating countdown to 58080
[21:28:12.833] [SEVERE ] updating countdown to 57974
[21:28:12.936] [SEVERE ] updating countdown to 57871
[21:28:13.042] [SEVERE ] updating countdown to 57765
[21:28:13.157] [SEVERE ] updating countdown to 57650
[21:28:13.270] [SEVERE ] updating countdown to 57537
[21:28:13.378] [SEVERE ] updating countdown to 57429
[21:28:13.479] [SEVERE ] updating countdown to 57328
[21:28:13.585] [SEVERE ] updating countdown to 57222
[21:28:13.692] [SEVERE ] updating countdown to 57115
[21:28:13.801] [SEVERE ] updating countdown to 57006
[21:28:13.909] [SEVERE ] updating countdown to 56898
[21:28:14.018] [SEVERE ] updating countdown to 56789
[21:28:14.127] [SEVERE ] updating countdown to 56680
[21:28:14.241] [SEVERE ] updating countdown to 56566
[21:28:14.349] [SEVERE ] updating countdown to 56458
[21:28:14.452] [SEVERE ] updating countdown to 56356
[21:28:14.560] [SEVERE ] updating countdown to 56247
[21:28:14.669] [SEVERE ] updating countdown to 56138
[21:28:14.783] [SEVERE ] updating countdown to 56024
[21:28:14.886] [SEVERE ] updating countdown to 55921
[21:28:14.995] [SEVERE ] updating countdown to 55812
[21:28:15.108] [SEVERE ] updating countdown to 55699
[21:28:15.211] [SEVERE ] updating countdown to 55596
[21:28:15.317] [SEVERE ] updating countdown to 55490
[21:28:15.422] [SEVERE ] updating countdown to 55385
[21:28:15.524] [SEVERE ] updating countdown to 55283
[21:28:15.636] [SEVERE ] updating countdown to 55171
[21:28:15.744] [SEVERE ] updating countdown to 55063
[21:28:15.851] [SEVERE ] updating countdown to 54956
[21:28:15.956] [SEVERE ] updating countdown to 54851
[21:28:16.061] [SEVERE ] updating countdown to 54746
[21:28:16.170] [SEVERE ] updating countdown to 54637
[21:28:16.270] [SEVERE ] updating countdown to 54537
[21:28:16.378] [SEVERE ] updating countdown to 54429
[21:28:16.486] [SEVERE ] updating countdown to 54321
[21:28:16.597] [SEVERE ] updating countdown to 54210
[21:28:16.699] [SEVERE ] updating countdown to 54108
[21:28:16.810] [SEVERE ] updating countdown to 53997
[21:28:16.918] [SEVERE ] updating countdown to 53889
[21:28:17.024] [SEVERE ] updating countdown to 53783
[21:28:17.132] [SEVERE ] updating countdown to 53675
[21:28:17.234] [SEVERE ] updating countdown to 53573
[21:28:17.336] [SEVERE ] updating countdown to 53471
[21:28:17.440] [SEVERE ] updating countdown to 53367
[21:28:17.551] [SEVERE ] updating countdown to 53256
[21:28:17.664] [SEVERE ] updating countdown to 53143
